username,academy_alpha_auc,n_reviews,mean_rating
sarahstubbssays,0.7857142857142858,26,4.3076923076923075
hirxeth,0.76953125,24,3.3541666666666665
hotdonkeybear,0.7538126361655773,44,3.909090909090909
oscarkit316,0.75,41,3.902439024390244
houch,0.7440476190476191,62,3.6370967741935485
gustavmenezes,0.7397959183673469,21,3.3333333333333335
mellyfratelli,0.7333333333333334,28,3.6607142857142856
fint,0.7329545454545454,30,4.05
ct_sexybeast,0.7196691176470589,49,4.051020408163265
pstalbot,0.7194010416666667,56,4.258928571428571
hastapura,0.7171717171717171,20,2.75
twincoves,0.7139219015280136,50,3.59
daveleedu,0.6952380952380953,22,4.4772727272727275
caityperrie,0.6900000000000001,35,3.6714285714285713
shutupmikeginn,0.6893939393939394,34,3.5588235294117645
eddiebergman,0.6840909090909091,31,3.596774193548387
amyelliot,0.6813186813186815,20,3.85
lucyskeet,0.68125,21,4.238095238095238
therealmcavoy,0.680952380952381,22,3.9318181818181817
sloanepeterson,0.675609756097561,61,4.344262295081967
noeljpenaflor,0.6755898366606171,67,3.925373134328358
rupertpupkin,0.6721763085399448,55,3.7545454545454544
luckydoll,0.6717171717171717,31,3.8548387096774195
jakealdacoffey,0.6691995947315097,89,3.9831460674157304
geeman81,0.6666666666666666,35,3.7142857142857144
johncassavetes,0.6651785714285715,22,3.727272727272727
tommysyk,0.6634460547504026,50,4.03
tototoro,0.6589285714285713,34,3.5
staceyb,0.657142857142857,24,3.7708333333333335
connorcarey,0.6567865241334628,112,4.375
imspoofy,0.6557692307692308,33,4.045454545454546
phrynefisher,0.6544117647058824,25,4.08
cathyk,0.6501358695652174,55,3.7363636363636363
cameronh,0.6470588235294117,22,4.113636363636363
the_rock,0.646604938271605,36,3.9583333333333335
jake84,0.6447058823529412,42,3.75
alphonse0,0.6428571428571429,22,3.0454545454545454
caseyjv,0.6419270833333333,40,3.8875
jotyco,0.6418439716312057,83,3.4698795180722892
cvrmenita,0.6408045977011494,53,3.811320754716981
kalvinlying,0.6407407407407406,24,4.0
aleechaye,0.640625,54,3.5185185185185186
popofett,0.6401515151515152,35,3.7857142857142856
eclectic_em,0.6399999999999999,54,4.074074074074074
vincentprince,0.6384408602150538,43,2.4186046511627906
dantesring,0.6383928571428572,30,4.0
peterstanley,0.6381578947368421,27,3.037037037037037
kyledunne,0.6375,74,3.5675675675675675
zoelovesfilm,0.6372549019607843,26,2.9615384615384617
keenan_mt,0.6354166666666666,32,3.921875
jbird26,0.6346899224806201,67,3.9776119402985075
eggchoke,0.6340579710144928,35,3.6142857142857143
electricwizardx,0.6326530612244898,21,2.9285714285714284
xraybutton,0.631868131868132,20,4.275
keeganeatspie,0.6306042884990253,46,3.9782608695652173
jazaldo,0.63,67,3.544776119402985
rpj,0.6285714285714286,22,3.3863636363636362
akcvtt,0.6271994134897361,75,3.986666666666667
emilybabyy,0.6266666666666667,40,4.3875
itsrambb,0.6225961538461539,42,4.321428571428571
ezracubero,0.620983606557377,111,3.9279279279279278
yo_roboto,0.6202046035805626,40,3.475
w0ndercinema,0.6190476190476191,35,3.9857142857142858
stellaperry,0.6187499999999999,28,3.767857142857143
pirateneckbeard,0.6184210526315789,29,3.586206896551724
kevlarx,0.6174999999999999,65,3.8076923076923075
dialnfornick,0.6173669467787115,86,3.261627906976744
sprizzle,0.617003367003367,71,3.76056338028169
austinburke,0.6162393162393163,69,4.260869565217392
cineronin,0.6148148148148149,24,3.9583333333333335
belledejour,0.6142857142857143,31,3.838709677419355
pondragon,0.6121212121212122,52,3.9134615384615383
